54
#
0 0 0 0
104 0.125     0     0
72 0.25    0    0
108 0.375     0     0
7 0.5   0   0
145 0.625     0     0
115 0.75    0    0
157 0.875     0     0
4 1 0 0
245 1.125     0     0
189 1.25    0    0
257 1.375     0     0
175 1.5   0   0
330 1.625     0     0
312 1.75    0    0
332 1.875     0     0
340 1.9375      0      0
1 2 0 0
341      2 0.0625      0
328     2 0.125     0
306    2 0.25    0
308     2 0.375     0
202   2 0.5   0
276      2 0.5625      0
273     2 0.625     0
218    2 0.75    0
220     2 0.875     0
2 2 1 0
231 1.875     1     0
224 1.75    1    0
222 1.625     1     0
182 1.5   1   0
247 1.375     1     0
192 1.25    1    0
193 1.125     1     0
6 1 1 0
77 0.875     1     0
49 0.75    1    0
59 0.625     1     0
68 0.5625      1      0
38 0.5   1   0
89 0.375     1     0
58 0.25    1    0
90 0.125     1     0
3 0 1 0
99     0 0.875     0
37    0 0.75    0
81     0 0.625     0
5   0 0.5   0
12     0 0.375     0
18      0 0.3125      0
8    0 0.25    0
102     0 0.125     0
107      0 0.0625      0
