-116.829,	-109.1,	0,	0,	0,	0
-55.0329,	179.513,	0,	0,	0,	0
154.444,	65.9375,	0,	0,	0,	0
137.428,	93.0454,	0,	0,	0,	0
-203.171,	136.505,	0,	0,	0,	0
84.1489,	-197.054,	0,	0,	0,	0
43.5639,	223.419,	0,	0,	0,	0
105.695,	55.0329,	0,	0,	0,	0
-204.419,	36.1118,	0,	0,	0,	0
-198.076,	114.368,	0,	0,	0,	0
-34.0307,	217.441,	0,	0,	0,	0
-218.772,	-27.5164,	0,	0,	0,	0
178.544,	-78.7054,	0,	0,	0,	0
-107.486,	-162.519,	0,	0,	0,	0
-133.831,	153.743,	0,	0,	0,	0
161.487,	133.831,	0,	0,	0,	0
75.2961,	-143.452,	0,	0,	0,	0
-125.923,	413.333,	0,	0,	0,	0
77.1872,	103.423,	0,	0,	0,	0
-177.828,	63.5531,	0,	0,	0,	0
212.929,	-244.293,	0,	0,	0,	0
-207.208,	230.382,	0,	0,	0,	0
-67.985,	-84.2881,	0,	0,	0,	0
-180.872,	80.457,	0,	0,	0,	0
-150.756,	102.078,	0,	0,	0,	0
-161.487,	27.6562,	0,	0,	0,	0
97.2362,	101.781,	0,	0,	0,	0
148.78,	-134.033,	0,	0,	0,	0
278.326,	-108.939,	0,	0,	0,	0
-201.391,	115.445,	0,	0,	0,	0
69.4252,	119.077,	0,	0,	0,	0
-119.566,	-31.678,	0,	0,	0,	0
86.3912,	-183.562,	0,	0,	0,	0
6.4927,	205.809,	0,	0,	0,	0
-250.696,	183.938,	0,	0,	0,	0
-183.788,	114.828,	0,	0,	0,	0
32.0374,	-174.613,	0,	0,	0,	0
200.202,	-345.371,	0,	0,	0,	0
-254.669,	212.302,	0,	0,	0,	0
-157.815,	127.209,	0,	0,	0,	0
171.766,	-251.147,	0,	0,	0,	0
167.704,	-103.543,	0,	0,	0,	0
90.4715,	102.625,	0,	0,	0,	0
-174.097,	63.6228,	0,	0,	0,	0
88.6078,	112.466,	0,	0,	0,	0
153.509,	-321.501,	0,	0,	0,	0
-21.4026,	168.731,	0,	0,	0,	0
-223.714,	57.7281,	0,	0,	0,	0
-231.598,	115.92,	0,	0,	0,	0
-117.625,	223.742,	0,	0,	0,	0
-216.851,	173.008,	0,	0,	0,	0
-72.1587,	-118.468,	0,	0,	0,	0
-163.272,	149.482,	0,	0,	0,	0
-166.758,	199.631,	0,	0,	0,	0
-115.167,	184.343,	0,	0,	0,	0
205.617,	-122.824,	0,	0,	0,	0
-128.296,	-84.2936,	0,	0,	0,	0
-209.903,	211.861,	0,	0,	0,	0
-40.4114,	178.8,	0,	0,	0,	0
210.243,	-103.033,	0,	0,	0,	0
-210.858,	172.862,	0,	0,	0,	0
258.088,	-181.665,	0,	0,	0,	0
-315.767,	141.373,	0,	0,	0,	0
224.103,	-150.456,	0,	0,	0,	0
-168.27,	146.434,	0,	0,	0,	0
90.5869,	-172.862,	0,	0,	0,	0
-136.566,	249.273,	0,	0,	0,	0
130.787,	51.3944,	0,	0,	0,	0
-222.543,	140.612,	0,	0,	0,	0
-208.843,	152.292,	0,	0,	0,	0
219.348,	-139.741,	0,	0,	0,	0
187.025,	-14.698,	0,	0,	0,	0
-31.2016,	-155.424,	0,	0,	0,	0
-127.042,	-81.2427,	0,	0,	0,	0
205.17,	-110.041,	0,	0,	0,	0
92.7184,	99.1625,	0,	0,	0,	0
89.4721,	105.93,	0,	0,	0,	0
102.433,	-249.005,	0,	0,	0,	0
-44.1277,	-182.913,	0,	0,	0,	0
296.935,	-170.485,	0,	0,	0,	0
120.427,	-199.209,	0,	0,	0,	0
72.0747,	149.373,	0,	0,	0,	0
18.7777,	173.521,	0,	0,	0,	0
-174.464,	177.551,	0,	0,	0,	0
